time,open,high,low,close,vwap,volume,count
2013-10-03,122.0,124.1,122.0,123.8,123.9,7.0146,9
2013-10-10,125.8,153.0,125.8,138.0,137.5,42.63475337,39
2013-10-17,137.6,203.4,137.5,203.4,170.8,171.61998489,165
2013-10-24,203.6,207.3,169.9,203.7,188.6,242.17675523,203
2013-10-31,199.0,269.4,199.0,263.7,227.9,198.73889693,1323
2013-11-07,262.8,4000.0,262.8,398.0,372.4,194.70586461,438
2013-11-14,405.5,800.0,387.9,591.8,498.5,308.35682594,1515
2013-11-21,600.0,1081.0,583.1,994.9,789.2,217.66098978,2507
2013-11-28,994.9,1198.8,770.0,1079.9,1026.1,243.63771381,3523
2013-12-05,1088.6,1110.0,600.9,883.7,860.8,471.82624424,4781
2013-12-12,883.7,919.0,380.0,528.0,658.4,420.31454306,3654
2013-12-19,533.3,718.2,517.6,676.0,655.1,203.1824754,2224
2013-12-26,684.5,771.0,676.0,753.9,733.5,143.36257321,2292
2014-01-02,750.1,1019.0,750.0,824.9,866.1,327.37169942,3374
2014-01-09,825.5,918.0,805.0,850.0,851.7,124.60013548,1597
2014-01-16,853.0,865.0,788.0,830.8,827.8,98.72272157,1247
2014-01-23,822.4,840.0,775.0,795.0,811.2,123.46694554,865
2014-01-30,802.4,835.0,787.0,802.5,808.3,88.89233494,983
2014-02-06,802.5,803.7,550.0,670.6,710.9,248.57865805,2825
2014-02-13,671.0,710.0,586.4,630.1,635.6,191.00275531,2104
2014-02-20,631.7,650.2,450.0,587.2,578.5,308.41662708,2813
2014-02-27,599.0,720.0,550.0,680.9,619.6,186.08656079,1597
2014-03-06,670.0,693.0,550.2,632.3,639.7,57.59468216,659
2014-03-13,644.4,657.9,550.0,620.0,633.2,56.32215316,273
2014-03-20,621.0,641.1,554.0,585.0,584.8,61.99958193,760
2014-03-27,585.1,599.2,436.0,443.6,505.5,168.58914334,2042
2014-04-03,440.0,550.0,426.4,452.9,456.5,54.4240466,579
2014-04-10,450.0,583.7,353.7,523.5,469.9,178.33021953,1319
2014-04-17,523.5,530.3,477.1,495.6,500.8,91.92080301,518
2014-04-24,495.0,503.4,429.0,448.3,461.8,59.74916619,419
2014-05-01,448.0,464.4,422.1,441.8,446.8,63.62486254,360
2014-05-08,446.2,459.2,432.2,445.5,442.2,39.45569191,253
2014-05-15,440.8,498.8,440.8,494.7,467.2,40.90839396,240
2014-05-22,494.7,594.6,494.7,575.8,548.0,109.48133069,1006
2014-05-29,576.2,677.9,525.0,650.4,632.9,158.19209496,671
2014-06-05,650.4,669.7,617.9,617.9,648.1,57.449732,275
2014-06-12,630.3,637.0,534.2,605.8,594.7,169.27272238,1151
2014-06-19,603.4,627.0,557.4,564.4,583.5,58.03887106,395
2014-06-26,568.4,658.8,568.4,646.5,620.7,86.2224556,311
2014-07-03,644.5,655.0,614.7,627.8,636.6,31.80690642,168
2014-07-10,632.1,653.4,612.8,625.2,621.4,12.81308624,104
2014-07-17,625.2,630.0,610.0,618.6,617.6,31.2553276,59
2014-07-24,612.5,623.4,566.7,566.7,597.4,50.05185,359
2014-07-31,573.1,602.3,567.6,579.0,582.0,53.60252092,125
2014-08-07,584.2,595.3,531.6,535.0,581.1,35.34645669,152
2014-08-14,535.0,553.8,455.0,530.0,492.9,189.28345634,1208
2014-08-21,530.0,530.0,482.2,524.8,506.7,43.67796412,289
2014-08-28,495.0,524.8,490.0,524.7,499.2,6.71166936,49
2014-09-04,475.0,524.7,465.0,475.0,477.3,46.49532677,293
2014-09-11,475.0,527.9,445.0,445.0,468.2,12.35441078,89
2014-09-18,455.9,503.1,295.0,433.1,388.9,56.14501921,434
2014-09-25,413.0,449.9,370.0,390.0,407.1,24.68515664,131
2014-10-02,380.0,389.9,273.3,370.0,331.6,141.10201578,635
2014-10-09,335.4,418.9,335.1,400.3,386.7,114.7913963,286
2014-10-16,398.3,398.3,371.0,388.7,381.9,29.72957796,114
2014-10-23,374.0,384.7,335.0,335.0,360.4,42.99562142,109
2014-10-30,335.0,350.0,320.0,328.2,329.5,44.94203811,105
2014-11-06,349.1,430.3,330.1,423.4,396.1,259.26175273,267
2014-11-13,423.2,450.0,370.3,389.9,405.0,140.71086686,376
2014-11-20,389.9,390.0,342.6,372.8,371.6,118.13474536,873
2014-11-27,385.6,387.0,360.5,380.0,377.7,61.32849293,356
2014-12-04,380.0,394.5,342.4,345.5,377.1,54.32561426,240
2014-12-11,345.4,372.1,315.0,329.9,340.8,92.74003093,259
2014-12-18,332.1,368.1,310.0,320.3,334.5,76.4236508,290
2014-12-25,320.4,338.9,313.0,319.1,318.5,49.78536677,254
2015-01-01,314.0,324.9,252.3,299.9,286.6,165.43166964,771
2015-01-08,290.0,299.9,175.0,175.0,232.3,548.88296773,1317
2015-01-15,175.0,236.4,175.0,224.4,210.1,261.72227109,676
2015-01-22,225.0,307.0,205.0,247.9,254.6,404.77005547,582
2015-01-29,245.0,246.9,210.0,228.8,230.3,148.74032393,383
2015-02-05,222.0,231.5,205.0,207.2,218.6,71.46979529,133
2015-02-12,219.3,264.7,207.0,236.0,237.4,203.39941035,274
2015-02-19,237.9,248.5,234.0,237.0,240.0,103.44193284,333
2015-02-26,237.0,285.7,235.0,274.7,256.6,330.23234079,1210
2015-03-05,272.3,299.9,260.0,295.6,286.5,114.38537869,282
2015-03-12,296.9,296.9,250.0,257.4,281.5,229.59058118,390
2015-03-19,253.4,280.8,237.6,250.9,259.4,73.55537418,336
2015-03-26,250.5,268.9,240.1,242.9,249.3,44.79338293,248
2015-04-02,247.5,262.4,240.0,249.4,252.0,84.96284962,338
2015-04-09,245.5,249.4,216.5,220.1,233.3,162.84393015,1389
2015-04-16,227.8,238.8,222.0,233.2,228.9,200.10624407,1275
2015-04-23,234.1,238.5,216.3,226.0,227.3,206.56664895,796
2015-04-30,226.0,242.5,225.6,227.3,233.9,213.94492296,585
2015-05-07,228.1,244.0,227.0,235.0,239.9,194.76606192,473
2015-05-14,235.5,240.0,231.0,234.8,234.3,74.96227975,252
2015-05-21,234.5,244.0,233.9,235.2,237.2,161.36986145,413
2015-05-28,234.0,237.9,222.0,227.0,229.9,99.99040789,582
2015-06-04,227.0,230.9,220.3,227.2,225.2,127.24545733,595
2015-06-11,228.6,256.3,226.1,245.0,239.6,367.62584896,348
2015-06-18,247.2,252.6,238.0,241.6,244.9,298.5527005,363
2015-06-25,242.7,273.0,239.5,258.1,256.6,341.61051416,794
2015-07-02,259.7,278.0,252.8,270.0,267.6,284.38628288,905
2015-07-09,270.5,316.0,267.3,285.8,292.3,796.7917453,1345
2015-07-16,289.4,292.0,273.4,276.9,278.5,236.66440461,272
2015-07-23,278.3,296.8,276.0,291.6,288.2,200.28800288,288
2015-07-30,288.5,293.4,277.1,281.0,285.1,213.65584405,703
2015-08-06,281.0,290.0,258.0,267.0,270.1,300.8596529,639
2015-08-13,267.4,270.0,188.1,230.0,252.6,1947.02803571,2516
2015-08-20,230.0,243.3,204.0,226.3,226.6,1851.12485216,2265
2015-08-27,228.2,237.9,222.5,230.0,229.6,987.67612739,2163
2015-09-03,229.1,246.5,226.1,239.0,236.4,1334.43910395,1586
2015-09-10,240.1,242.1,226.3,229.0,232.2,960.82772725,2565
2015-09-17,229.9,236.0,223.1,230.2,230.5,467.2617229,690
2015-09-24,229.7,240.0,229.7,236.0,235.6,523.08940937,530
2015-10-01,235.6,248.3,234.5,241.2,240.2,438.93358803,321
2015-10-08,243.6,253.6,233.0,253.6,245.3,520.11811139,422
2015-10-15,254.0,270.9,251.0,266.5,263.0,885.74417409,630
2015-10-22,266.2,305.0,263.7,298.0,287.4,823.48068473,919
2015-10-29,297.0,489.9,296.4,408.9,363.8,1575.14367307,2090
2015-11-05,395.2,438.7,300.0,304.8,361.7,737.41658601,1783
2015-11-12,309.1,341.0,301.5,326.5,326.9,654.34098339,767
2015-11-19,332.7,332.7,310.0,329.6,323.2,760.17842367,541
2015-11-26,329.7,380.6,329.7,358.6,360.2,1112.77219279,929
2015-12-03,359.4,420.0,356.9,416.3,378.8,2337.7186968,1558
2015-12-10,417.2,464.9,407.1,453.6,434.0,1646.75477669,1626
2015-12-17,450.3,467.6,426.6,444.8,448.1,681.1174614,567
2015-12-24,443.9,458.0,409.0,424.3,428.0,613.40078496,752
2015-12-31,424.4,434.9,416.6,429.9,428.0,240.37767923,445
2016-01-07,428.5,460.0,427.1,433.9,446.6,819.84400163,1234
2016-01-14,433.0,437.1,351.7,419.0,392.9,2428.6485886,2708
2016-01-21,419.0,425.7,375.5,395.3,398.9,3617.90850962,4657
2016-01-28,396.5,397.8,365.0,368.1,376.6,2453.0445789,4417
2016-02-04,368.6,392.0,367.7,380.0,378.3,3891.14900808,4526
2016-02-11,380.0,421.7,373.6,413.8,393.6,6691.32866201,9396
2016-02-18,413.4,443.9,408.1,423.2,426.0,6152.04744126,6527
2016-02-25,423.9,442.0,412.0,421.1,428.7,5734.76870098,5921
2016-03-03,421.7,431.1,387.2,411.9,408.9,16974.04624967,13367
2016-03-10,410.5,429.7,406.1,418.1,413.5,17480.1083086,14425
2016-03-17,418.1,422.6,405.0,416.0,414.0,11990.4597107,9610
2016-03-24,415.5,429.9,405.0,412.4,418.6,7817.57938773,6010
2016-03-31,412.4,424.9,412.4,423.5,419.3,6220.78549441,3488
2016-04-07,423.5,430.3,415.0,423.5,422.3,8006.0099095,6388
2016-04-14,424.1,444.0,422.3,440.9,431.4,6284.26479635,4177
2016-04-21,440.9,470.0,440.1,444.0,455.1,7368.98291824,4394
2016-04-28,445.9,458.1,435.4,447.8,448.2,7476.68041927,4780
2016-05-05,447.7,464.9,447.1,453.2,455.2,7493.41902258,3280
2016-05-12,453.2,459.7,449.3,452.3,454.5,7035.02552065,4408
2016-05-19,453.2,453.8,427.0,448.3,440.4,10757.20465315,6045
2016-05-26,448.3,549.0,445.1,535.5,508.3,16193.85791355,12078
2016-06-02,535.2,589.9,531.5,581.9,568.8,13981.51748144,7392
2016-06-09,581.9,717.7,571.5,696.0,651.1,19750.99544446,13001
2016-06-16,696.0,781.1,580.0,601.9,715.0,39452.31187333,33098
2016-06-23,599.8,762.2,551.4,643.1,642.1,20099.76624184,18486
2016-06-30,638.5,703.9,635.0,677.1,674.6,10097.10800417,10870
2016-07-07,678.8,681.9,610.6,655.1,647.5,9850.47921291,10759
2016-07-14,654.2,686.0,650.0,666.1,669.5,7491.30053993,8560
2016-07-21,667.4,669.4,642.5,656.9,656.9,7417.66860706,10858
2016-07-28,656.9,661.1,479.0,569.8,580.0,18763.96690597,23291
2016-08-04,567.5,607.5,566.1,591.0,584.9,9992.24678934,16502
2016-08-11,590.0,599.9,561.4,573.2,581.1,6819.5652614,8116
2016-08-18,573.6,592.1,570.8,582.1,580.6,4183.1790787,5395
2016-08-25,580.9,582.2,564.2,574.2,575.3,4968.28782914,7037
2016-09-01,574.2,617.3,565.5,617.3,594.1,6540.15628284,8345
2016-09-08,617.3,635.6,595.1,613.9,617.8,4691.00113012,6591
2016-09-15,612.5,615.8,592.0,599.6,607.0,4122.75642318,4950
2016-09-22,598.9,609.1,595.0,604.9,603.0,3679.06943114,3382
2016-09-29,604.9,617.2,604.0,614.9,611.1,3668.17416766,3705
2016-10-06,614.9,645.4,611.2,635.2,624.1,5906.4152197,5790
2016-10-13,634.7,647.0,623.7,631.5,637.7,4686.36106645,5432
2016-10-20,631.4,679.0,627.0,677.3,654.4,8081.92686906,8201
2016-10-27,677.3,747.0,674.6,747.0,709.1,11360.31554291,14823
2016-11-03,747.0,750.5,673.4,722.4,713.6,11987.51846868,12768
2016-11-10,722.4,744.8,685.3,741.6,715.2,7845.80660295,9801
2016-11-17,741.8,763.1,713.0,741.9,743.9,11653.56691292,13910
2016-11-24,742.4,745.1,726.0,742.3,735.5,6219.2531738,10819
2016-12-01,742.3,781.9,740.8,765.0,760.9,8689.68971075,12973
2016-12-08,765.0,789.0,762.0,777.5,775.3,5942.73394339,9079
2016-12-15,777.5,830.0,776.0,830.0,797.4,6612.5562744,13300
2016-12-22,829.9,979.9,826.0,978.0,906.0,16726.08297588,21099
2016-12-29,979.8,1150.0,920.0,1133.2,1022.9,16514.35562543,25056
2017-01-05,1133.2,1156.9,765.4,789.8,906.6,33837.35213781,40746
2017-01-12,783.0,920.0,756.0,892.3,842.4,19352.23565057,23631
2017-01-19,892.4,939.9,882.5,896.8,907.2,14206.21846649,14517
2017-01-26,896.8,990.0,895.5,988.7,940.3,10926.11437121,11113
2017-02-02,988.7,1069.9,975.9,1055.8,1024.7,14472.84706252,16935
2017-02-09,1053.4,1079.9,940.0,1015.7,996.2,16093.40293841,20097
2017-02-16,1016.7,1139.9,1015.7,1125.6,1075.4,12285.16392293,15436
2017-02-23,1122.0,1229.9,1056.6,1225.0,1174.6,18069.40018797,23643
2017-03-02,1228.7,1288.0,1131.3,1143.3,1237.1,16483.28021792,24021
2017-03-09,1143.3,1310.9,968.0,1252.9,1183.1,25313.39800155,46206
2017-03-16,1252.9,1255.9,902.0,1032.0,1067.7,36876.80091295,53742
2017-03-23,1030.0,1067.8,881.8,1043.4,992.6,26710.01447669,34217
2017-03-30,1042.1,1165.6,1022.7,1138.1,1099.8,22130.38341876,32911
2017-04-06,1138.2,1234.6,1138.2,1219.1,1195.4,13268.61599696,22740
2017-04-13,1218.6,1219.5,1151.0,1204.2,1193.7,12261.54906931,25712
2017-04-20,1209.0,1314.7,1206.3,1290.5,1255.5,13827.78988707,26984
2017-04-27,1290.5,1523.7,1290.5,1513.5,1387.1,26439.4326651,51032
2017-05-04,1513.5,1794.0,1358.0,1782.0,1599.0,46628.68308607,102732
2017-05-11,1781.9,1886.6,1608.0,1836.0,1768.6,40454.02442411,73177
2017-05-18,1836.0,2589.0,1821.0,2408.2,2079.3,53049.05018611,125120
2017-05-25,2408.2,2722.2,1812.9,2291.3,2251.2,65755.87278392,174060
2017-06-01,2291.3,2934.2,2291.3,2690.0,2593.4,54894.57513009,113057
2017-06-08,2693.0,2948.0,2318.4,2452.6,2733.2,47721.04378601,122293
2017-06-15,2456.6,2768.0,2075.3,2644.9,2504.0,56084.33358924,141505
2017-06-22,2644.9,2735.3,2210.0,2554.0,2505.7,44882.84677251,110175
2017-06-29,2554.0,2647.6,2344.0,2611.3,2518.3,39636.38290907,106919
2017-07-06,2610.7,2620.0,2235.0,2373.8,2430.8,42606.54113693,112407
2017-07-13,2373.8,2417.0,1809.0,2254.9,2150.5,76550.9902829,166874
2017-07-20,2254.9,2934.4,2254.6,2525.0,2661.9,70820.0547482,138744
2017-07-27,2526.6,2970.0,2511.1,2700.8,2737.5,54644.74088497,148725
2017-08-03,2700.9,3492.0,2697.7,3371.8,3168.7,50282.59838307,156819
2017-08-10,3370.0,4484.2,3340.0,4388.0,3990.4,59246.18682764,177877
2017-08-17,4381.0,4479.0,3620.0,4151.0,4127.1,47730.00969151,155156
2017-08-24,4150.9,4665.4,4145.0,4579.7,4392.7,28131.61058448,123009
2017-08-31,4581.1,4965.0,4140.5,4641.6,4564.8,41973.46270282,137945
2017-09-07,4651.1,4730.0,3753.1,3882.2,4240.0,40620.15322603,133853
2017-09-14,3880.7,4135.0,2995.5,3863.1,3647.8,70914.31594092,178377
2017-09-21,3863.1,4240.0,3525.1,4213.8,3825.2,35297.95462914,90897
2017-09-28,4213.9,4467.5,4025.0,4223.6,4263.5,28885.5797822,77627
2017-10-05,4222.3,4919.0,4154.9,4822.6,4590.9,27490.3500051,83164
2017-10-12,4824.2,5854.4,4812.2,5579.4,5494.2,37519.10738772,120953
